ItemID,ItemName,EquipPos,Profession,level,quality,DirectoryComment,ModelPrefabWarrior,ModelPrefabArcher,ModelPrefabSorcer,ModelPrefabCleric,ModelPrefab5,ModelPrefab6,ModelPrefab7,ModelPrefab8,PresentID,ReplaceID,AgainReplaceID
道具ID,道具名称,装备部位,职业,等级,品质,目录注释,模型路径-战士,模型路径-弓箭手,模型路径-魔法师,模型路径-牧师,模型路径-学者,模型路径-刺客,模型路径-7,模型路径-8,表现ID,穿上主体装备时同时穿上replace装备,特殊癖好
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
uint,string,int,int,int,string,string,string,string,string,string,string,string,string,string,string,int[],string
10001,法师初始腿部（特殊）,2,,,,,,,Player_sorceress_leg_a,,,,,,,,
10002,糖果童话用头发,11,,,,,Player_warrior_hair_03,Player_archer_hair_03,Player_sorceress_hair_03,cl_normal02_hair_03,Player_academic_hair_03,Player_assassin_hair_03,,,,,
10003,龙币发型,11,,,,,Player_warrior_hair_04,Player_archer_hair_04,Player_sorceress_hair_04,cl_normal02_hair_04,Player_academic_hair_04,Player_assassin_hair_04,,,,0|0|0|0|10005|0,
10004,钻石发型,11,,,,,Player_warrior_hair_05,Player_archer_hair_05,Player_sorceress_hair_05,cl_normal02_hair_05,Player_academic_hair_05,Player_assassin_hair_05,,,,0|0|0|0|10005|0,
10005,学者空帽子,0,,,,,,,,,,,,,,,
10006,帽子用头发（学者专用）,11,,,,,,,,,Player_academic_hair_02,,,,,,
10007,帽子用头发（战士）,11,,,,,player_warrior_hair01_a,,Player_sorceress_hair_01,cl_normal02_hair_01_a,Player_academic_hair_01,Player_assassin_hair01_a,,,,,
10008,没有头发,11,,,,,,,,,,,,,,,
10009,帽子用头发（战士）,11,,,,,,,,,,,,,,,
10010,龙币发型（30天）,11,,,,,Player_warrior_hair_04,Player_archer_hair_04,Player_sorceress_hair_04,cl_normal02_hair_04,Player_academic_hair_04,Player_assassin_hair_04,,,,0|0|0|0|10005|0,
10011,龙币发型（1天）,11,,,,,Player_warrior_hair_04,Player_archer_hair_04,Player_sorceress_hair_04,cl_normal02_hair_04,Player_academic_hair_04,Player_assassin_hair_04,,,,0|0|0|0|10005|0,
10012,龙币发型（3天）,11,,,,,Player_warrior_hair_04,Player_archer_hair_04,Player_sorceress_hair_04,cl_normal02_hair_04,Player_academic_hair_04,Player_assassin_hair_04,,,,0|0|0|0|10005|0,
10013,龙币发型（7天）,11,,,,,Player_warrior_hair_04,Player_archer_hair_04,Player_sorceress_hair_04,cl_normal02_hair_04,Player_academic_hair_04,Player_assassin_hair_04,,,,0|0|0|0|10005|0,
10014,龙币发型（15天）,11,,,,,Player_warrior_hair_04,Player_archer_hair_04,Player_sorceress_hair_04,cl_normal02_hair_04,Player_academic_hair_04,Player_assassin_hair_04,,,,0|0|0|0|10005|0,
