SceneID,Comment,SceneType,IsStaticScene,PreTask,PreScene,RequiredLevel,SyncMode,SwitchToSelf,CanReconnect,EndTimeOut,IsCanQuit,DelayTransfer,LineRoleCount,Buff,SceneFile,UnitySceneFile,ScenePath,BGM,BlockFilePath,OperationSettings,StartPos,StartFace,StartRot,Chapter,UIPos,BoxUIPos,UIIcon,FatigueCost,ViewableDropList,Exp,Drop,Drop1,Drop2,Drop3,Drop4,Drop5,Money,FirstDownExp,FirstDownDrop,FirstDownMoney,FirstSSS,ExpSealReward,SceneChest,DiamondDropID,GoldDropID,SilverDropID,CopperDropID,SBox,SSBox,SSSBox,IsBoss,RecommendPower,BossAvatar,BossIcon,EndCutScene,EndCutSceneTime,WinCondition,LoseCondition,WinDelayTime,DayLimit,CoolDown,DayLimitGroupID,CanDrawBox,HasFlyOut,DynamicScene,EnvSet,CanRevive,ReviveNumb,ReviveCost,ReviveMoneyCost,ReviveTime,ReviveBuff,ReviveBuffTip,CanPause,ShowUp,LoadingTips,LoadingPic,SceneCanNavi,ShowAutoFight,ShowBattleStatistics,RandomTaskType,RandomTaskSpecify,UseSupplement,HurtCoef,MiniMap,MiniMapSize,MiniMapOutSize,MiniMapRotation,StaticMiniMapCenter,SceneAI,PPTCoff,GuildExpBounus,FailText,LeaveSceneTip,RecommendHint,TeamInfoDefaultTab,CombatType,SweepNeedPPT,TimeCounter,HasComboBuff,DisplayPet,AutoReturn,StoryDriver,MinPassTime,ShowSkill,ShowNormalAttack,WinConditionTips,BattleExplainTips,DPS,CanVIPRevive,HideTeamIndicate,ShieldSight,SpecifiedTargetLocatedRange,SpactivityActiveDrop,SpActivityDrop,VipReviveLimit
场景ID,场景描述,场景类型(1.大厅 2.关卡 3.巢穴 4.主题公园 5.竞技场 6.时装副本 7.世界boss 8.小妖精 9.bossrush 10.公会 11.公会屠龙 12.天梯赛 13.深渊 14.远征队 15.搞基谷 16.爬塔 17.保卫队长 18.龙本 19.公会擂台战 20.女神的试炼 21.龙之远征 22.大冒险 23.双人随机本 24.天空竞技场(等待) 25.天空竞技场（战斗） 26.转职试练 27.公会擂台战积分赛28矿脉争夺PVP 29矿脉争夺PVE 30公会大冒险 31飞艇 32每周巢穴 34赛马等待区 35赛马区 36守望先锋 38领地战等待区 39领地战战场 40战队联赛 41联机三星活动 42联机积分活动 43单机三星活动 44深渊派对 45 全民PK赛 46.2v2天梯 47.英雄峡谷 48.周末活动怪物大乱斗 49.周末活动幽灵行动 50.周末活动生存大挑战 51.周末活动疯狂炸弹人 52.周末活动团队赛马）,是否是静态地图（服务器启动生成）,前置任务,前置场景,需求等级,同步模式（1：联网 0： 单机 2：服务器发属性给客户端）,是否能直接跳转自己,是否支持断线重连,场景结束多久后剔除残留玩家,手机上战斗设置界面是否能退出关卡,客户端切场景延迟时间(可以跳转自身的场景默认0.5，其他场景默认0，值不可大于0.5),分线人数,进场景加BUFF,场景配置文件,场景文件,场景文件路径,背景音乐,阻挡文件目录,操作配置(3D|2.5D),初始位置,初始朝向,初始旋转,所属篇章（负数表示精英关卡）,UI位置,对应宝箱位置,UI图标,体力消耗,掉落道具显示列表,经验,可能掉落,可能掉落,可能掉落,可能掉落,可能掉落,可能掉落,金钱,首次通关经验,首次通关掉落,首次通关金钱,首次三星奖励,封印货币,关卡宝箱,钻石箱子DropID,金箱子DropID,银箱子DropID,铜箱子DropID,一星宝箱,两星宝箱,三星宝箱,是否boss关卡,推荐战斗力,关卡图(UI/Hall/LevelAvatar),主线使用(UI/common/SmallAvatar),结束cutscene,cutscene开始播放时间,胜利条件（1：所有boss死亡 2：所有怪杀完 3：杀掉XX个数的怪物 4：坚持到XX秒 5：PVP-对方玩家全死 6:bossrush 7：所有玩家死亡 8：分数达到xxx）,失败条件（1：主角死亡 2:团灭 3：时间 4: 特定NPC死亡 5: 队长死亡）,关卡胜利后结算或切景的延时,一天能玩的次数,场景CD,,是否要抽奖,是否喷金币,动态prefab名字(DynamicScene的子节点),动态环境参数设置（>=0）,是否走复活流程,可复活次数,复活消耗(道具ID=数量),复活直接扣钱(道具ID=数量),自动复活配置 时间(秒)=次数,复活BUFF,复活BUFF提示,是否能暂停,是否播放主角出场技能,进入场景|离开场景,加载图片（atlas/UI/common/Pic下）,地图是否支持寻路(客户端),是否显示自动战斗按钮,是否显示伤害统计,随机任务类型（1.单人任务。2.队伍任务),指定的随机任务,是否可以使用辅助道具,伤害系数,小地图名字(atlas\UI\Battle\minimap),长宽：（仅配置地图长宽时读取globalconfig的缩放，配置200|200|10则读取此列小地图缩放，表示缩放0.1*10倍）,小地图外部缩放,小地图旋转角度(不能填小数点）,静态地图中心（不填表示动态地图）,场景AI配置,,,失败提示,离开场景提示,推荐装备提示,组队面板默认标签，0=队伍|1=伤害,结算类型 0=PVE|1=PVP,深渊扫荡需要的战斗力,"计时配置（默认为正计时，此处不填或者填0； 倒计时：格式1|320, 1倒计时标志 320 倒计时时常）",是否有连击Buff加成,是否显示坐骑,结算自动回主城,"剧情驱动者(Statistic ID, 默认为玩家)",通关所需最小时间,是否显示技能,是否显示普通攻击,胜利条件提示，用于小地图下方的提示用，目前只有大冒险关卡用到,战斗说明，用于小地图下方的提示用，目前只有公会资源战用到,最小DPS=增量分母,vip复活(1表示不能使用特权),隐藏队友标记,屏蔽视角（1=2.5D视角 2=3D视角 3=3D自由视角，配多个用|分割）,场景自定义选怪范围,节日活动掉落,活动掉落（actid+dropid|actid+dropid),特权单次复活次数
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
int,string,int,int,int,int[],int,int,bool,bool,int,bool,float,int,string,string,string,string,string,string,int[],string,int[],float[],string,int[],string,string,string,int[],int,int[],int[],int[],int[],int[],int[],int,int,int[],int,string,string,string,string,string,string,string,string,string,string,bool,int,string,string,string,string,string,string,string,int,int,string,bool,bool,string,string,bool,string,string,string,string,string,string,bool,bool,string,string,bool,bool,bool,string,string,int,int,string,int[],string,int,string,string,string,string,string,string,string,string,int,int,int[],bool,bool,string,string,int,bool,bool,string,string,string,string,bool,string,int,string,string,string
1,大厅,1,1,,,,1,FALSE,,,TRUE,,30,,,DN_maincity_sstt,DN_maincity_sstt/DN_maincity_sstt,Audio/mapambience/zhucheng,Table/SceneBlock/hall,1|1001,99.67=0.09=49.22868,,0|0|0|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,0=21600=1|21600=64800=0|64800=86400=1,FALSE,,,,,,,,FALSE,,Loading_29,TRUE,FALSE,FALSE,,,,1,,,,,,,,,,,,,,1000,,FALSE,TRUE,,,0,FALSE,FALSE,,,,1,FALSE,,-1,,,
2,更新场景,100,0,,,,0,FALSE,,,TRUE,,,,,DN_Updater,DN_Select/DN_Updater,Audio/mapambience/denglu,,1|1001,0=0=0,,0|0|0|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0=0,0=0,,,,,,,,,FALSE,,,,,,,,FALSE,请耐心等候，玩命加载中|请耐心等候，玩命加载中,,FALSE,FALSE,FALSE,,,,1,,,,,,,,,,,,,,1000,,FALSE,FALSE,,,0,FALSE,FALSE,,,,1,FALSE,,-1,,,
3,登录场景,100,0,,,,0,FALSE,,,TRUE,,,,,DN_Select,DN_Select/DN_Select,Audio/mapambience/denglu,,1|1001,0=0=0,,0|0|0|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0=0,0=0,,,,,,,,0=21600=1|21600=64800=0|64800=86400=1,FALSE,,,,,,,,FALSE,欢迎来到美丽的阿尔特里亚大陆|欢迎来到美丽的阿尔特里亚大陆,Loading_01|Loading_02|Loading_00|Loading_03,FALSE,FALSE,FALSE,,,,1,,,,,,,,,,,,,,1000,,FALSE,FALSE,,,0,FALSE,FALSE,,,,1,FALSE,,-1,,,
4,公会场景,10,0,,,,1,TRUE,,,TRUE,,30,,,gonghui,DN_FB/gonghui/gonghui,Audio/mapambience/gonghui,Table/SceneBlock/gonghui,1|1001,59=0=253,,0|40|0|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,FALSE,,,,,,,,FALSE,同公会的玩家可以进行公会传承，被传承的玩家可以获得大量经验哦|32级以上的玩家就可以对15级以上的同公会成员进行公会传承了哦,Loading_05,TRUE,FALSE,FALSE,,,,1,,,,,,,,,,,,,,1000,,FALSE,FALSE,,,0,FALSE,FALSE,,,,1,FALSE,,-1,,,
5,公会Boss场景,11,0,,,,1,FALSE,,,TRUE,,8,,Level/Park/guildboss,xiaoyaojing,DN_FB/xiaoyaojing/xiaoyaojing,Audio/mapambience/lvlong,Table/SceneBlock/xiaoyaojing,2|1002,54=0=61,,0|180|0|1,,,,,,22|508,,,,,,,,,,,,,,,,,,,,,,FALSE,0,,,,,,,,,30,,,,guildboss,,TRUE,999,7=5|7=10|7=20|7=30|7=40|7=50,,20=999,,,,FALSE,恐怖的暴君蜥蜴龙来袭，一起消灭它吧！,Loading_07,TRUE,TRUE,FALSE,,,,1,minimap_worldbossxyj,100|150,,180,,Scene_Guildboss,,,,,,,,1000,,FALSE,FALSE,,,0,TRUE,TRUE,,,3094=155,1,TRUE,,-1,,,
6,森林神殿,2,0,,,1,1,FALSE,,,TRUE,,,,Level/society_part1,huodong,DN_FB/huodong/huodong,Audio/mapambience/shulin,Table/SceneBlock/huodong,1|1001,14.31508=0=7.3,,0|0|0|1,,,,,,22|508,,40013|50001|50002,40013|50001|50002,40013|50001|50002,40013|50001|50002,40013|50001|50002,40013|50001|50002,,,40013|50001|50002,,,,,,,,,,,,TRUE,0,,,,,1=0,1=0,,,,,,,huodong,,FALSE,,,,,,,FALSE,TRUE,,,FALSE,FALSE,FALSE,,,,1,,,,,,,,,,,,,,1000,,FALSE,FALSE,,,0,TRUE,TRUE,,,,1,FALSE,,-1,,,
7,家园,15,0,,,,1,TRUE,,,TRUE,,30,,,gaojigu,DN_FB/gaojigu/gaojigu,Audio/mapambience/jiayuan,Table/SceneBlock/gaojigu,6|1006,44.82=5.00061=138.08,,0|176|0|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,FALSE,,,,,,,,FALSE,在家园中可以烹饪和钓鱼，收获的作物可以用来烹饪和举办宴会哟,Loading_01|Loading_02|Loading_00|Loading_03,TRUE,FALSE,FALSE,,,,1,,,,,,,,,,,,,,1000,,FALSE,FALSE,,,0,FALSE,FALSE,,,,1,FALSE,,-1,,,
11,擂台赛,5,0,,,1,2,TRUE,,,TRUE,,,,Level/Other/arena,arena,DN_FB/arena/arena,Audio/mapambience/PVP,Table/SceneBlock/Arena,4|1004,40.31291=0.010235=29.43109,,0|0|0|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,0,,,,,2=0,1=0|3=300,,10,300,,FALSE,FALSE,,,FALSE,,,,,,,FALSE,FALSE,,Loading_06,FALSE,TRUE,FALSE,,,,1,minimap_pvp,80|80,,,,Scene_Arena,5,,,,,,,1000,1|300|10,FALSE,FALSE,,,0,TRUE,TRUE,,,,1,FALSE,,-1,,,
12,天梯赛,12,0,,,,1,TRUE,,,TRUE,0.5,0,13=1,,pvp,DN_FB/pvp/pvp,Audio/mapambience/PVP,Table/SceneBlock/pvp,4|1004,32.80461=0=44.36881|44.46961=0=32.70381,135|-45,0|135|0|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,0,,,,,,,,,,,FALSE,FALSE,pvp,,FALSE,,,,,,,FALSE,FALSE,正在让所有观众入场就位，请稍候|胜不骄败不馁，人生总是有输有赢,Loading_06,FALSE,FALSE,FALSE,,,,1,minimap_1v1tts,80|80,,0,,,,,,,,,1,1000,1|150|10,FALSE,FALSE,,,0,TRUE,TRUE,,,,1,FALSE,,-1,,,
13,切磋,37,0,,,,1,FALSE,,,TRUE,0.5,0,13=1,,pvp,DN_FB/pvp/pvp,Audio/mapambience/PVP,Table/SceneBlock/pvp,4|1004,32.80461=0=44.36881|44.46961=0=32.70381,135|-45,0|135|0|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,0,,,,,,,,,,,FALSE,FALSE,pvp,,FALSE,,,,,,,FALSE,FALSE,正在让所有观众入场就位，请稍候|胜不骄败不馁，人生总是有输有赢,Loading_06,FALSE,FALSE,FALSE,,,,1,minimap_1v1tts,80|80,,0,,,,,,,,,1,1000,1|150|10,FALSE,FALSE,,,0,TRUE,TRUE,,,,1,FALSE,,-1,,,
15,保护队长,17,0,,,,1,TRUE,,,FALSE,,,,Level/Other/protectking,yishishendian,DN_FB/yishishendian/yishishendian,Audio/mapambience/PVP,Table/SceneBlock/yishishendian,5|1005,59.2=0=37.84|19.4=0=37.8,270|90,0|-90|0|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,0,,,,,,,,,,,FALSE,FALSE,,,FALSE,,,,,,,FALSE,FALSE,在混战中，保护自己的队长比杀敌更重要哦|每轮队长会重新分配，一定要注意头顶标识，保护好自己的队长,Loading_15,FALSE,FALSE,FALSE,,,,1,minimap_bhdz,80|80,,-90,,Scene_DK,,,,,,,1,1000,,FALSE,FALSE,,,0,TRUE,TRUE,,,,1,FALSE,,-1,,,
16,公会擂台战,19,0,,,,1,TRUE,TRUE,60,FALSE,,20,13=1,,pvp,DN_FB/pvp/pvp,Audio/mapambience/PVP,Table/SceneBlock/pvp,4|1004,32.80461=0=44.36881|44.46961=0=32.70381,180|0,0|180|0|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,0,,,,,,,,,,,FALSE,FALSE,pvp,,FALSE,,,,,,,FALSE,FALSE,巅峰对决，王者谁属？|参战公会成员可以在观战时点击鼓舞按钮免费提升己方参战成员属性哦！,Loading_15,FALSE,FALSE,FALSE,,,,1,minimap_1v1tts,200|300,,0,,Scene_Scene_GuildArena,,,,,,,1,1000,,FALSE,FALSE,,,0,TRUE,TRUE,,,,1,TRUE,,-1,,,
17,保护队长(备用),17,0,,,,1,TRUE,,,FALSE,,,,,wugu,DN_FB/wugu/wugu,Audio/mapambience/PVP,Table/SceneBlock/wugu,5|1005,41=7.28=97|81.26=3.5=43.51,162|-18,0|162|0|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,0,,,,,,,,,,,FALSE,FALSE,,,FALSE,,,,,,,FALSE,FALSE,在混战中，保护自己的队长比杀敌更重要哦|每轮队长会重新分配，一定要注意头顶标识，保护好自己的队长,Loading_15,FALSE,FALSE,FALSE,,,,1,minimap_bhdz,150|150,,162,,Scene_DK,,,,,,,1,1000,,FALSE,FALSE,,,0,TRUE,TRUE,,,,1,FALSE,,-1,,,
18,天空竞技场（等待）,24,0,,,,1,FALSE,,,TRUE,,,,,3v3_daiji,DN_FB/3v3_daiji/3v3_daiji,Audio/mapambience/shulin,Table/SceneBlock/3v3_daiji,1|1001,63.28=0.02=62.39,,0|-160|0|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,0,,,,,,,,,,,FALSE,FALSE,,,FALSE,,,,,,,FALSE,FALSE,,Loading_27,FALSE,FALSE,FALSE,,,,1,,,,0,,,,,,,,,,1000,,FALSE,FALSE,,,0,FALSE,FALSE,,,,1,FALSE,,-1,,,
19,天空竞技场（战斗）,25,0,,,,1,TRUE,,,TRUE,,,,,3v3_zhandou,DN_FB/3v3_zhandou/3v3_zhandou,Audio/mapambience/PVP,Table/SceneBlock/3v3_zhandou,5|1005,20=0.02=20|37.5=0.02=37.5,0|180,0|0|0|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,0,,,,,,,,,,,FALSE,FALSE,,,FALSE,,,,,,,FALSE,FALSE,,Loading_27,FALSE,FALSE,FALSE,,,,1,,,,0,,,,,,,,,1,1000,,FALSE,FALSE,,,0,TRUE,TRUE,,,,1,FALSE,,-1,,,
