UID,Prefab,Name,BoneSuffix,AnimLocation,SkillLocation,CurveLocation,BoundRadius,BoundRadiusOffset,BoundHeight,HugeMonsterColliders,Scale,UIAvatarAngle,UIAvatarScale,AvatarPos,Huge,EnterGame,AngluarSpeed,Idle,AttackIdle,FishingIdle,Walk,AttackWalk,Run,AttackRun,RunLeft,AttackRunLeft,RunRight,AttackRunRight,MoveFx,Freeze,FreezeFx,Hit_f,Hit_l,Hit_r,HitBackOffsetTimeScale,HitFly,HitFlyOffsetTimeScale,Hit_Roll,HitRollOffsetTimeScale,HitBack_Recover,HitFly_Bounce_GetUp,HitRoll_Recover,HitFx,Death,DeathFx,HitCurves,DeathCurve,A,AA,AAA,AAAA,AAAAA,OtherSkills,SkillNum,Dash,Ultra,Appear,Disappear,FishingCast,FishingPull,FishingWait,FishingWin,FishingLose,Dance,Kiss,InheritActionOne,InheritActionTwo,Atlas,Avatar,Atlas2,Avatar2,Shadow,Feeble,FeebleFx,ArmorBroken,SuperArmorRecoverySkill,RecoveryFX,RecoveryHitSlowFX,RecoveryHitStopFX
UID,模型名称,名称,骨骼后缀,动作目录,技能目录,曲线目录,服务器半径(单位比率),半径阻挡偏移(X|Z 仅针对大体型单位）,服务器高度(单位比率),体形拆分(x=z=r=h),体型比例,Avatar旋转角度,Avatar缩放,Avatar动作,是否巨型(考虑体型比例),玩家进入游戏动作,转向倾角速度,动作-待机,战斗-待机,钓鱼-待机,动作-走,战斗-走,动作-跑,战斗-跑,左转,战斗-左转,右转,战斗-右转,移动特效,动作-晕,晕眩特效,动作-受击 (1-3-4),动作-受击 (1-3-4),动作-受击 (1-3-4),击退位移时间尺度(位移|位移时间|硬直时间),动作-击飞 (1-2-3-4),击飞位移时间尺度(V位移|H位移|位移时间|硬直时间),受击-翻滚(1-3-4),翻滚位移时间尺度(位移|位移时间|硬直时间),击退恢复时间 f|l|r (server only),击飞着地起身时间 bounce|getup (server only),翻滚恢复时间 (server only),受击特效,动作-死亡,死亡特效(不填默认值为Effects/FX_Particle/NPC/xiaobing_die),受击曲线 (击退VVV|击飞VH|翻滚V),死亡曲线(HV),技能1(普通攻击),技能2,技能3,技能4,技能5,附加技能,技能键位数,躲避技能,技能无双,技能出场,技能离场,钓鱼甩杆,钓鱼收杆,钓鱼等待鱼上钩,钓到鱼高兴动作,钓不到鱼失落动作,跳舞动作,飞吻动作(动作|特效|特效时间),传功动作1,传功动作2,头像的图集（有头像则图集必填）,头像(UI/common/SmallAvatar),第二头像图集,第二头像名称,影子,虚弱动作,虚弱特效,破甲表现技能,超级盔甲恢复技能,虚弱状态下正常回复速度的特效,虚弱状态下受击回复变慢的特效,虚弱状态下受击回复停止的特效
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
uint,string,string,string,string,string,string,float,float[],float,string,float,string,float,string,bool,string,int,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string[],string[],string[],float[],string[],float[],string[],float[],float[],float[],float,string,string,string,string[],string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,bool,string,string,string,string,string,string,string
1,ZJ_zhanshi_SkinnedMesh,战士玩家,_zhanshi,Player_warrior/,Player_warrior/,Player_warrior/,0.25,,1,,1,,1,Player_warrior_idle_normal,FALSE,,,Player_warrior_idle_normal,Player_warrior_idle,Player_warrior_fishing_maincity_stand,Player_warrior_walk_normal,Player_warrior_walk_fighting,Player_warrior_run_normal,Player_warrior_run,,,,,Effects/FX_Particle/Roles/Lzg_Ty/Ty_walk,Player_warrior_Stun,,Player_warrior_hit_front_back|Player_warrior_hit_front_shiver|Player_warrior_hit_front_recover,Player_warrior_hit_front_back|Player_warrior_hit_front_shiver|Player_warrior_hit_front_recover,Player_warrior_hit_front_back|Player_warrior_hit_front_shiver|Player_warrior_hit_front_recover,1|1|1,Player_warrior_hit_fly_knockback|Player_warrior_hit_fly_bounce|Player_warrior_hit_fly_down|Player_warrior_hit_fly_getup,1|1|1|1,Player_warrior_hit_roll_back|Player_warrior_hit_roll_shiver|Player_warrior_hit_roll_recover,1|1|1,0.2|0.2|0.2,0.7|0.233|0.666,0.2,,Player_warrior_dead,,Player_warrior_hit_front_forward|Player_warrior_hit_front_forward|Player_warrior_hit_front_forward|Player_warrior_hit_fly_forward|Player_warrior_hit_fly_up|Player_warrior_hit_roll_forward,Player_warrior_dead_up|Player_warrior_dead_forward,Player_warrior_attack_A1,Player_warrior_attack_A2,Player_warrior_attack_A3,Player_warrior_attack_A4,,,,Player_warrior_dash,,Player_warrior_summon,Player_warrior_Victory,Player_warrior_fishing_casting,Player_warrior_fishing_lift,Player_warrior_fishing_casting_loop,player_warrior_fishing_happy,player_warrior_fishing_unhappy,player_warrior_dance,player_warrior_t_show|Effects/FX_Particle/Scene/Lzg_scene/Ttai_feiwen|2.3,player_warrior_talk01,player_warrior_talk02,,,,,TRUE,,,,,,,
2,Player_archer_SkinnedMesh,弓箭手玩家,_archer,Player_archer/,Player_archer/,Player_archer/,0.25,,1,,1,,1,Player_archer_idle_normal,FALSE,,,Player_archer_idle_normal,Player_archer_idle,Player_archer_fishing_maincity_stand,Player_archer_walk_normal,Player_archer_walk_fighting,Player_archer_run_normal,Player_archer_run_fighting,,,,,Effects/FX_Particle/Roles/Lzg_Ty/Ty_walk,Player_archer_Stun,,Player_archer_hit_front_back|Player_archer_hit_front_shiver|Player_archer_hit_front_recover,Player_archer_hit_front_back|Player_archer_hit_front_shiver|Player_archer_hit_front_recover,Player_archer_hit_front_back|Player_archer_hit_front_shiver|Player_archer_hit_front_recover,1|1|1,Player_archer_hit_fly_knockback|Player_archer_hit_fly_bounce|Player_archer_hit_fly_down|Player_archer_hit_fly_getup,1|1|1|1,Player_archer_hit_roll_back|Player_archer_hit_roll_shiver|Player_archer_hit_roll_recover,1|1|1,0.2|0.2|0.2,0.7|0.2|0.666,0.2,,Player_archer_dead,,Player_archer_hit_front_forward|Player_archer_hit_front_forward|Player_archer_hit_front_forward|Player_archer_hit_fly_forward|Player_archer_hit_fly_up|Player_archer_hit_roll_forward,Player_archer_dead_up|Player_archer_dead_forward,Player_archer_attack_stand,Player_archer_attack_stand_mid_new,Player_archer_attack_stand_final_new,,,,,Player_archer_dash,,Player_archer_summon,Player_archer_victory,Player_archer_fishing_casting,Player_archer_fishing_lift,Player_archer_fishing_casting_loop,Player_archer_fishing_happy,Player_archer_fishing_unhappy,Player_archer_dance,Player_archer_t_show|Effects/FX_Particle/Scene/Lzg_scene/Ttai_feiwen|2.3,player_archer_talk01,player_archer_talk02,,,,,TRUE,,,,,,,
3,Player_sorceress_SkinnedMesh,魔法师玩家,_sorceress,Player_sorceress/,Player_sorceress/,Player_sorceress/,0.25,,1,,1,,1,Player_sorceress_stand_normal,FALSE,,,Player_sorceress_stand_normal,Player_sorceress_stand_fighting,Player_sorceress_fishing_maincity_stand,Player_sorceress_walk_normal,Player_sorceress_walk_fighting,Player_sorceress_run_normal,Player_sorceress_run_fighting,,,,,Effects/FX_Particle/Roles/Lzg_Ty/Ty_walk,Player_sorceress_Stun,,Player_sorceress_hit_front_back|Player_sorceress_hit_front_shiver|Player_sorceress_hit_front_recover,Player_sorceress_hit_front_back|Player_sorceress_hit_front_shiver|Player_sorceress_hit_front_recover,Player_sorceress_hit_front_back|Player_sorceress_hit_front_shiver|Player_sorceress_hit_front_recover,1|1|1,Player_sorceress_hit_fly_knockback|Player_sorceress_hit_fly_bounce|Player_sorceress_hit_fly_down|Player_sorceress_hit_fly_getup,1|1|1|1,Player_sorceress_hit_roll_back|Player_sorceress_hit_roll_shiver|Player_sorceress_hit_roll_recover,1|1|1,0.2|0.2|0.2,0.7|0.233|0.666,0.333,,Player_sorceress_dead,,Player_sorceress_hit_front_forward|Player_sorceress_hit_front_forward|Player_sorceress_hit_front_forward|Player_sorceress_hit_fly_forward|Player_sorceress_hit_fly_up|Player_sorceress_hit_roll_forward,Player_sorceress_dead_up|Player_sorceress_dead_forward,Player_sorceress_attack_stand,Player_sorceress_attack_stand_mid,Player_sorceress_attack_stand_final,,,,,Player_sorceress_dash,,Player_sorceress_summon,Player_sorceress_victory,Player_sorceress_fishing_casting,Player_sorceress_fishing_Lift,Player_sorceress_fishing_casting_loop,Player_sorceress_fishing_happy,Player_sorceress_fishing_unhappy,Player_sorceress_dance,Player_sorceress_t_show|Effects/FX_Particle/Scene/Lzg_scene/Ttai_feiwen|2.3,Player_sorceress_talk01,Player_sorceress_talk02,,,,,TRUE,,,,,,,
4,Player_cleric_SkinnedMesh,牧师玩家,_cleric,Player_cleric/,Player_cleric/,Player_cleric/,0.25,,1,,1,,1,Player_cleric_idle_normal,FALSE,,,Player_cleric_idle_normal,Player_cleric_idle_fighting,Player_cleric_fishing_maincity_stand,Player_cleric_walk_normal,Player_cleric_walk_fighting,Player_cleric_run_normal,Player_cleric_run_fighting,,,,,Effects/FX_Particle/Roles/Lzg_Ty/Ty_walk,Player_cleric_Stun,,Player_cleric_hit_front_back|Player_cleric_hit_front_shiver|Player_cleric_hit_front_recover,Player_cleric_hit_front_back|Player_cleric_hit_front_shiver|Player_cleric_hit_front_recover,Player_cleric_hit_front_back|Player_cleric_hit_front_shiver|Player_cleric_hit_front_recover,1|1|1,Player_cleric_hit_fly_knockback|Player_cleric_hit_fly_bounce|Player_cleric_hit_fly_down|Player_cleric_hit_fly_getup,1|1|1|1,Player_cleric_hit_roll_back|Player_cleric_hit_roll_shiver|Player_cleric_hit_roll_recover,1|1|1,0.3|0.3|0.3,0.7|0.333|1.3,0.066,,Player_cleric_dead,,Player_cleric_hit_front_forward|Player_cleric_hit_front_forward|Player_cleric_hit_front_forward|Player_cleric_hit_fly_forward|Player_cleric_hit_fly_up|Player_cleric_hit_roll_forward,Player_cleric_dead_up|Player_cleric_dead_forward,Player_cleric_attack_A1,Player_cleric_attack_A2,Player_cleric_attack_A3,Player_cleric_attack_A4,Player_cleric_attack_A5,,,Player_cleric_dash,,Player_cleric_summon,Player_cleric_Victory,Player_cleric_fishing_casting,Player_cleric_fishing_lift,Player_cleric_fishing_casting_loop,Player_cleric_fishing_happy,Player_cleric_fishing_unhappy,Player_cleric_dance,Player_cleric_t_show|Effects/FX_Particle/Scene/Lzg_scene/Ttai_feiwen|2.3,Player_Cleric_talk01,Player_Cleric_talk02,,,,,TRUE,,,,,,,
5,Player_academic_SkinnedMesh,学者玩家,_academic,Player_academic/,Player_academic/,Player_academic/,0.25,,0.9,,1,,1.17,Player_academic_idle_normal,FALSE,,,Player_academic_idle_normal,Player_academic_idle,Player_academic_fishing_maincity_stand,Player_academic_walk_normal,Player_academic_walk,Player_academic_run_normal,Player_academic_run,,,,,Effects/FX_Particle/Roles/Lzg_Ty/Ty_walk,Player_academic_Stun,,Player_academic_hit_front_back|Player_academic_hit_front_shiver|Player_academic_hit_front_recover,Player_academic_hit_front_back|Player_academic_hit_front_shiver|Player_academic_hit_front_recover,Player_academic_hit_front_back|Player_academic_hit_front_shiver|Player_academic_hit_front_recover,1|1|1,Player_academic_hit_fly_knockback|Player_academic_hit_fly_smallbounce|Player_academic_hit_fly_down|Player_academic_hit_fly_getup,1|1|1|1,Player_academic_hit_roll_back|Player_academic_hit_roll_shiver|Player_academic_hit_roll_recover,1|1|1,0.2|0.2|0.2,0.667|0|0.667,0.167,,Player_academic_dead,,Player_academic_hit_front_forward|Player_academic_hit_front_forward|Player_academic_hit_front_forward|Player_academic_hit_fly_forward|Player_academic_hit_fly_up|Player_academic_hit_roll_forward,,Player_academic_attack_A1,Player_academic_attack_A2,Player_academic_attack_A3,,,,,Player_academic_dash,,Player_academic_summon,Player_academic_victory,Player_academic_fishing_casting,Player_academic_fishing_lift,Player_academic_fishing_casting_loop,Player_academic_fishing_happy,Player_academic_fishing_unhappy,Player_academic_dance,,Player_academic_chuangong01,Player_academic_chuangong02,,,,,TRUE,,,,,,,
6,Player_assassin_SkinnedMesh,刺客玩家,_assassin,Player_assassin/,Player_assassin/,Player_assassin/,0.25,,1,,1,,1,Player_assassin_idle_normal,FALSE,,,Player_assassin_idle_normal,Player_assassin_idle,Player_assassin_fishing_maincity_stand,Player_assassin_walk_normal,Player_assassin_walk,Player_assassin_run_normal,Player_assassin_run,,,,,Effects/FX_Particle/Roles/Lzg_Ty/Ty_walk,Player_assassin_Stun,,Player_assassin_hit_front_back|Player_assassin_hit_front_shiver|Player_assassin_hit_front_recover,Player_assassin_hit_front_back|Player_assassin_hit_front_shiver|Player_assassin_hit_front_recover,Player_assassin_hit_front_back|Player_assassin_hit_front_shiver|Player_assassin_hit_front_recover,1|1|1,Player_assassin_hit_fly_knockback|Player_assassin_hit_fly_bounce|Player_assassin_hit_fly_down|Player_assassin_hit_fly_getup,1|1|1|1,Player_assassin_hit_roll_back|Player_assassin_hit_roll_shiver|Player_assassin_hit_roll_recover,1|1|1,0.2|0.2|0.2,0.7|0.267|0.667,0.167,,Player_assassin_dead,,Player_assassin_hit_front_back_forward|Player_assassin_hit_front_back_forward|Player_assassin_hit_front_back_forward|Player_assassin_hit_fly_knockback_forward|Player_assassin_hit_fly_knockback_up|Player_assassin_hit_roll_forward,Player_assassin_dead_up|Player_assassin_dead_forward,Player_assassin_attack_A1,Player_assassin_attack_A2,Player_assassin_attack_A3,Player_assassin_attack_A4,,,,Player_assassin_dash,,Player_assassin_summon,Player_assassin_victory,Player_assassin_fishing_casting,Player_assassin_fishing_lift,Player_assassin_fishing_casting_loop,Player_assassin_fishing_happy,Player_assassin_fishing_unhappy,Player_assassin_dance,,Player_assassin_chuangong01,Player_assassin_chuangong02,,,,,TRUE,,,,,,,
19,NPC_geraint,杰兰特,_geraint,NPC_geraint/,NPC_geraint/,NPC_geraint/,0.25,,1.15,,1,,1,,FALSE,,,NPC_geraint_idle,NPC_geraint_idle,,,Npc_geraint_walk,,Npc_geraint_run,,,,,,,,NPC_geraint_idle|NPC_geraint_idle|NPC_geraint_idle,NPC_geraint_idle|NPC_geraint_idle|NPC_geraint_idle,NPC_geraint_idle|NPC_geraint_idle|NPC_geraint_idle,1|1|1,,,,1|1|1,1|1|1,,0.4,,,,,,NPC_geraint_attack,,,,,NPC_geraint_barrier|NPC_geraint_shild|Npc_geraint_chargeattack_nest|Npc_geraint_chargeattack_end|Npc_geraint_chargeattack_loop|Npc_geraint_chargeattack_star,,,,,,,,,,,,,,,common/SmallAvatar,TXNPCicon_07,,,TRUE,,,,,,,
