id,Name,PresentID,Type,Tag,Fightgroup,SummonGroup,WalkSpeed,RunSpeed,FloatHeight,RotateSpeed,AttackSpeed,SkillCD,AttackProb,Sight,FightTogetherDis,BeLocked,InBornBuff,MaxSuperArmor,WeakStatus,SuperArmorBrokenBuff,SuperArmorRecoveryValue,SuperArmorRecoveryMax,AttackBase,MagicAttackBase,MaxHP,MobaExp,MobaExpRange,MobaKillNeedHint,PosIndex,HpSection,IsWander,Block,DynamicBlock,UsingGeneralCutscene,SoloShow,EndShow,Fov,AIStartTime,AIActionGap,IsFixedInCD,FashionTemplate,Highlight,UseMyMesh,ExtraReward,aihit,AiBehavior,InitEnmity,AlwaysHpBar,HideName,ratioleft,ratioright,ratioidle,ratiodistance,ratioskill,ratioexp,navigation,IsNavPingpong,HideInMiniMap,Access,SameBillBoard,PandoraDropIDs,DropIDs,BigMeleePoints
id,名称,表现模板,类型(1.boss| 2.opposer| 3.puppet| 5.substance | 6.elite),特殊含义的标记（3：箭塔2：大本营4：近战兵5：远程兵6：攻城兵7：野怪）,战斗关系 (0.敌对  1.友好   2.双方友好 3.双方敌对 4.敌对不可受击 5.友军不可受击),技能召唤物分组,步行速度,跑动速度,游离高度(Min|Max),转身速度,攻击速度 标准=GlobalConfig里的GeneralCombatParam,技能CD,"攻击倾向(0.5是1/2,1是2/3)",攻击视野,拉人距离,被锁定属性,天生BUFF,超级盔甲,是否进入虚弱状态,易伤BUFF,超级盔甲恢复每秒恢复的百分比,超级盔甲恢复的最大时间,物理攻击力,魔法攻击力,最大血量,moba经验,moba经验范围,moba被击杀是否需要提示,位置标识（小地图用）,血条数量,是否游荡,是否和玩家阻挡,是否忽略动态阻挡,是否通用CutScene出场,是否支持Solo模式,是否有死亡表现(镜头，子弹时间等 仅限Boss)如果有专有Cutscene表现死亡则此项应为FALSE,绑定的FOV大小(一般用于巨型BOSS),AI起始时间，建议0.2~3秒，佣兵没有随机就是1倍，其他有(0.1~1.0)的随机倍数，,"AI心跳普通(0.2~1),建议boss0.2,佣兵0.5，普通2.0",CD的时候是不是站定,时装模板（引用defaultequip表,是否描边,用自己的模型,额外奖励,是否为自动寻路目标（-1为不是、0~N为优先级，数字越大优先级越高）,行为树名称,初始仇恨,总是显示血条,是否隐藏名字FALSE-不隐藏 TRUE-隐藏,左走概率,右走概率,待机概率,保持距离概率,技能概率,表情动作概率,寻路点,是否来回巡逻,在小地图上隐藏（仅限友军和敌军，默认不隐藏）,,公告版和主体保持一致,怪物对应的潘多拉ID,怪物对应的dropID,大乱斗积分
int,string,uint,int,string,int,string,float,float,float[],float,int,int,float,float,float,string,string,string,bool,string,int,int,int,int,float,int,int,bool,int,int,bool,bool,bool,bool,bool,bool,int,float,float,bool,int,bool,string,string,int,string,int,bool,bool,float,float,float,float,float,float,string,int,bool,string,string,string,string,string
1,创角战士,10111,5,,2,,3,5,,8,100,100,1,20,10,,,999999999,,,,,150,150,4000,,,,,5,FALSE,TRUE,,FALSE,FALSE,FALSE,,1.5,1.5,FALSE,1010,TRUE,,,1,,0,,,0.2,0.2,0.2,0.2,0.2,0.2,0=0=0,1,,,,,,
2,创角弓箭手,10112,5,,2,,3,5,,8,100,100,1,20,10,,,999999999,,,,,150,150,4000,,,,,5,FALSE,TRUE,,FALSE,FALSE,FALSE,,1.5,1.5,FALSE,1011,TRUE,,,1,,0,,,0.2,0.2,0.2,0.2,0.2,0.2,,1,,,,,,
3,创角魔法师,10113,5,,2,,3,5,,8,100,100,1,20,10,,,999999999,,,,,150,150,4000,,,,,5,FALSE,TRUE,,FALSE,FALSE,FALSE,,1.5,1.5,FALSE,1012,TRUE,,,1,,0,,,0.2,0.2,0.2,0.2,0.2,0.2,,1,,,,,,
4,创角牧师,10114,5,,2,,3,5,,8,100,100,1,20,10,,,999999999,,,,,150,150,4000,,,,,5,FALSE,TRUE,,FALSE,FALSE,FALSE,,1.5,1.5,FALSE,1013,TRUE,,,1,,0,,,0.2,0.2,0.2,0.2,0.2,0.2,,1,,,,,,
5,创角学者,10115,5,,2,,3,5,,8,100,100,1,20,10,,,999999999,,,,,150,150,4000,,,,,5,FALSE,TRUE,,FALSE,FALSE,FALSE,,1.5,1.5,FALSE,1014,TRUE,,,1,,0,,,0.2,0.2,0.2,0.2,0.2,0.2,,1,,,,,,
6,创角刺客,10116,5,,2,,3,5,,8,100,100,1,20,10,,,999999999,,,,,150,150,4000,,,,,5,FALSE,TRUE,,FALSE,FALSE,FALSE,,1.5,1.5,FALSE,1015,TRUE,,,1,,0,,,0.2,0.2,0.2,0.2,0.2,0.2,,1,,,,,,
11,login黑龙,3101,1,,,,3,5,,8,100,100,1,20,10,,,999999999,,,,,150,150,4000,,,,,5,FALSE,TRUE,,FALSE,FALSE,FALSE,,1.5,1.5,FALSE,,TRUE,,,1,Monster,0,,,0.2,0.2,0.2,0.2,0.2,0.2,,1,,,,,,
91,冒险者战士,10131,2,,1,,3,5,,8,100,100,1,20,10,,,,,,,,150,500,4000,,,,,5,FALSE,TRUE,,FALSE,FALSE,FALSE,,1.5,1.5,FALSE,1102,TRUE,,,1,Ally,0,,,0.2,0.2,0.2,0.2,0.2,0.2,,1,,,,,,
92,冒险者弓箭手,10132,2,,1,,3,5,,8,100,100,1,20,10,,,,,,,,150,800,100000,,,,,5,FALSE,TRUE,,FALSE,FALSE,FALSE,,1.5,1.5,FALSE,1202,TRUE,,,1,Ally,0,,,0.2,0.2,0.2,0.2,0.2,0.2,,1,,,,,,
93,冒险者魔法师,10133,2,,1,,3,5,,8,100,100,1,20,10,,,,,,,,150,500,4000,,,,,5,FALSE,TRUE,,FALSE,FALSE,FALSE,,1.5,1.5,FALSE,1302,TRUE,,,1,Ally,0,,,0.2,0.2,0.2,0.2,0.2,0.2,,1,,,,,,
94,冒险者牧师,10134,2,,1,,3,5,,8,100,100,1,20,10,,,,,,,,150,800,100000,,,,,5,FALSE,TRUE,,FALSE,FALSE,FALSE,,1.5,1.5,FALSE,1402,TRUE,,,1,Ally,0,,,0.2,0.2,0.2,0.2,0.2,0.2,,1,,,,,,
95,治愈之手,1352,2,,-1,,0,0,,0,100,100,0,35,10,,34213=1|50126=1,999999,,,,,150,1,1,,,,,,FALSE,FALSE,,FALSE,FALSE,FALSE,,0.5,0.5,FALSE,,FALSE,,,-1,Monster_Summon,0,TRUE,TRUE,0,0,0,0,0.2,0,,1,,,,,,
101,冒险者战士,10121,2,,-1,,3,5,,8,100,100,1,20,10,,,,,,,,150,500,4000,,,,,5,FALSE,TRUE,,FALSE,FALSE,FALSE,,1.5,1.5,FALSE,1102,TRUE,,,1,Ally,0,,,0.2,0.2,0.2,0.2,0.2,0.2,,1,,,,,,
102,冒险者弓箭手,10122,2,,-1,,3,5,,8,100,100,1,20,10,,,,,,,,150,500,4000,,,,,5,FALSE,TRUE,,FALSE,FALSE,FALSE,,1.5,1.5,FALSE,1202,TRUE,,,1,Ally,0,,,0.2,0.2,0.2,0.2,0.2,0.2,,1,,,,,,
103,冒险者魔法师,10123,2,,-1,,3,5,,8,100,100,1,20,10,,,,,,,,150,500,4000,,,,,5,FALSE,TRUE,,FALSE,FALSE,FALSE,,1.5,1.5,FALSE,1302,TRUE,,,1,Ally,0,,,0.2,0.2,0.2,0.2,0.2,0.2,,1,,,,,,
104,冒险者牧师,10124,2,,-1,,3,5,,8,100,100,1,20,10,,,,,,,,150,500,4000,,,,,5,FALSE,TRUE,,FALSE,FALSE,FALSE,,1.5,1.5,FALSE,1402,TRUE,,,1,Ally,0,,,0.2,0.2,0.2,0.2,0.2,0.2,,1,,,,,,
105,冒险者学者,10125,2,,-1,,3,5,,8,100,100,1,20,10,,,,,,,,150,500,4000,,,,,5,FALSE,TRUE,,FALSE,FALSE,FALSE,,1.5,1.5,FALSE,1502,TRUE,,,1,Ally,0,,,0.2,0.2,0.2,0.2,0.2,0.2,,1,,,,,,
106,冒险者刺客,10126,2,,-1,,3,5,,8,100,100,1,20,10,,,,,,,,150,500,4000,,,,,5,FALSE,TRUE,,FALSE,FALSE,FALSE,,1.5,1.5,FALSE,1602,TRUE,,,1,Ally,0,,,0.2,0.2,0.2,0.2,0.2,0.2,,1,,,,,,
111,剑圣转职体验,10141,2,,-1,,3,5,,8,100,100,1,20,10,,,,,,,,150,500,4000,,,,,5,FALSE,TRUE,,FALSE,FALSE,FALSE,,1.5,1.5,FALSE,1102,TRUE,,,1,Ally,0,,,0.2,0.2,0.2,0.2,0.2,0.2,,1,,,,,,
112,战神转职体验,10142,2,,-1,,3,5,,8,100,100,1,20,10,,,,,,,,150,500,4000,,,,,5,FALSE,TRUE,,FALSE,FALSE,FALSE,,1.5,1.5,FALSE,1102,TRUE,,,1,Ally,0,,,0.2,0.2,0.2,0.2,0.2,0.2,,1,,,,,,
113,箭神转职体验,10143,2,,-1,,3,5,,8,100,100,1,20,10,,,,,,,,150,500,4000,,,,,5,FALSE,TRUE,,FALSE,FALSE,FALSE,,1.5,1.5,FALSE,1202,TRUE,,,1,Ally,0,,,0.2,0.2,0.2,0.2,0.2,0.2,,1,,,,,,
114,游侠转职体验,10144,2,,-1,,3,5,,8,100,100,1,20,10,,,,,,,,150,500,4000,,,,,5,FALSE,TRUE,,FALSE,FALSE,FALSE,,1.5,1.5,FALSE,1202,TRUE,,,1,Ally,0,,,0.2,0.2,0.2,0.2,0.2,0.2,,1,,,,,,
115,元素转职体验,10145,2,,-1,,3,5,,8,100,100,1,20,10,,,,,,,,150,500,4000,,,,,5,FALSE,TRUE,,FALSE,FALSE,FALSE,,1.5,1.5,FALSE,1302,TRUE,,,1,Ally,0,,,0.2,0.2,0.2,0.2,0.2,0.2,,1,,,,,,
116,魔导转职体验,10146,2,,-1,,3,5,,8,100,100,1,20,10,,,,,,,,150,500,4000,,,,,5,FALSE,TRUE,,FALSE,FALSE,FALSE,,1.5,1.5,FALSE,1302,TRUE,,,1,Ally,0,,,0.2,0.2,0.2,0.2,0.2,0.2,,1,,,,,,
117,贤者转职体验,10147,2,,-1,,3,5,,8,100,100,1,20,10,,,,,,,,150,500,4000,,,,,5,FALSE,TRUE,,FALSE,FALSE,FALSE,,1.5,1.5,FALSE,1402,TRUE,,,1,Ally,0,,,0.2,0.2,0.2,0.2,0.2,0.2,,1,,,,,,
118,祭司转职体验,10148,2,,-1,,3,5,,8,100,100,1,20,10,,,,,,,,150,500,4000,,,,,5,FALSE,TRUE,,FALSE,FALSE,FALSE,,1.5,1.5,FALSE,1402,TRUE,,,1,Ally,0,,,0.2,0.2,0.2,0.2,0.2,0.2,,1,,,,,,
119,工程师转职体验,10149,2,,-1,,3,5,,8,100,100,1,20,10,,,,,,,,150,500,4000,,,,,5,FALSE,TRUE,,FALSE,FALSE,FALSE,,1.5,1.5,FALSE,1502,TRUE,,,1,Ally,0,,,0.2,0.2,0.2,0.2,0.2,0.2,,1,,,,,,
120,炼金术士转职体验,10150,2,,-1,,3,5,,8,100,100,1,20,10,,,,,,,,150,500,4000,,,,,5,FALSE,TRUE,,FALSE,FALSE,FALSE,,1.5,1.5,FALSE,1502,TRUE,,,1,Ally,0,,,0.2,0.2,0.2,0.2,0.2,0.2,,1,,,,,,
121,暗之使徒转职体验,10151,2,,-1,,3,5,,8,100,100,1,20,10,,,,,,,,150,500,4000,,,,,5,FALSE,TRUE,,FALSE,FALSE,FALSE,,1.5,1.5,FALSE,1602,TRUE,,,1,Ally,0,,,0.2,0.2,0.2,0.2,0.2,0.2,,1,,,,,,
122,光明之怒转职体验,10152,2,,-1,,3,5,,8,100,100,1,20,10,,,,,,,,150,500,4000,,,,,5,FALSE,TRUE,,FALSE,FALSE,FALSE,,1.5,1.5,FALSE,1602,TRUE,,,1,Ally,0,,,0.2,0.2,0.2,0.2,0.2,0.2,,1,,,,,,
131,剑皇转职体验,10161,2,,-1,,3,5,,8,100,100,1,20,10,,,,,,,,150,500,4000,,,,,5,FALSE,TRUE,,FALSE,FALSE,FALSE,,1.5,1.5,FALSE,1102,TRUE,,,1,Ally,0,,,0.2,0.2,0.2,0.2,0.2,0.2,,1,,,,,,
132,月之领主转职体验,10162,2,,-1,,3,5,,8,100,100,1,20,10,,,,,,,,150,500,4000,,,,,5,FALSE,TRUE,,FALSE,FALSE,FALSE,,1.5,1.5,FALSE,1102,TRUE,,,1,Ally,0,,,0.2,0.2,0.2,0.2,0.2,0.2,,1,,,,,,
133,毁灭者转职体验,10163,2,,-1,,3,5,,8,100,100,1,20,10,,,,,,,,150,500,4000,,,,,5,FALSE,TRUE,,FALSE,FALSE,FALSE,,1.5,1.5,FALSE,1102,TRUE,,,1,Ally,0,,,0.2,0.2,0.2,0.2,0.2,0.2,,1,,,,,,
134,狂战士转职体验,10164,2,,-1,,3,5,,8,100,100,1,20,10,,,,,,,,150,500,4000,,,,,5,FALSE,TRUE,,FALSE,FALSE,FALSE,,1.5,1.5,FALSE,1102,TRUE,,,1,Ally,0,,,0.2,0.2,0.2,0.2,0.2,0.2,,1,,,,,,
135,狙翎转职体验,10165,2,,-1,,3,5,,8,100,100,1,20,10,,,,,,,,150,500,4000,,,,,5,FALSE,TRUE,,FALSE,FALSE,FALSE,,1.5,1.5,FALSE,1202,TRUE,,,1,Ally,0,,,0.2,0.2,0.2,0.2,0.2,0.2,,1,,,,,,
136,魔羽转职体验,10166,2,,-1,,3,5,,8,100,100,1,20,10,,,,,,,,150,500,4000,,,,,5,FALSE,TRUE,,FALSE,FALSE,FALSE,,1.5,1.5,FALSE,1202,TRUE,,,1,Ally,0,,,0.2,0.2,0.2,0.2,0.2,0.2,,1,,,,,,
